cost,prize,profit,draws,max_drawdown,h_jp,h_2nd,h_3rd
117100,44000.0,-73100.0,387,-73300.0,0,0,0
117100,48416.0,-68684.0,387,-68684.0,0,0,0
117100,33200.0,-83900.0,387,-83900.0,0,0,0
117100,32800.0,-84300.0,387,-84300.0,0,0,0
117100,31400.0,-85700.0,387,-85700.0,0,0,0
117100,47800.0,-69300.0,387,-71100.0,0,0,0
117100,34000.0,-83100.0,387,-83100.0,0,0,0
117100,37600.0,-79500.0,387,-79700.0,0,0,0
117100,31200.0,-85900.0,387,-86100.0,0,0,0
117100,37800.0,-79300.0,387,-79300.0,0,0,0
117100,35400.0,-81700.0,387,-81700.0,0,0,0
117100,36400.0,-80700.0,387,-80700.0,0,0,0
117100,34200.0,-82900.0,387,-82900.0,0,0,0
117100,29000.0,-88100.0,387,-88100.0,0,0,0
117100,32600.0,-84500.0,387,-84700.0,0,0,0
117100,56426.0,-60674.0,387,-69450.0,0,0,0
117100,36381.0,-80719.0,387,-80719.0,0,0,0
117100,34000.0,-83100.0,387,-83100.0,0,0,0
117100,36800.0,-80300.0,387,-80300.0,0,0,0
117100,27600.0,-89500.0,387,-89500.0,0,0,0
117100,32000.0,-85100.0,387,-85100.0,0,0,0
117100,30800.0,-86300.0,387,-86350.0,0,0,0
117100,29600.0,-87500.0,387,-87500.0,0,0,0
117100,33600.0,-83500.0,387,-83500.0,0,0,0
117100,32600.0,-84500.0,387,-84750.0,0,0,0
117100,34200.0,-82900.0,387,-82900.0,0,0,0
117100,37400.0,-79700.0,387,-81350.0,0,0,0
117100,34600.0,-82500.0,387,-82500.0,0,0,0
117100,33400.0,-83700.0,387,-83700.0,0,0,0
117100,71824.0,-45276.0,387,-49850.0,0,0,1
117100,30800.0,-86300.0,387,-86300.0,0,0,0
117100,31000.0,-86100.0,387,-86100.0,0,0,0
117100,43000.0,-74100.0,387,-74500.0,0,0,0
117100,42116.0,-74984.0,387,-84200.0,0,0,0
117100,62483.0,-54617.0,387,-54617.0,0,0,1
117100,35000.0,-82100.0,387,-82100.0,0,0,0
117100,30000.0,-87100.0,387,-87100.0,0,0,0
117100,33800.0,-83300.0,387,-83300.0,0,0,0
117100,38000.0,-79100.0,387,-79150.0,0,0,0
117100,39200.0,-77900.0,387,-77900.0,0,0,0
117100,40600.0,-76500.0,387,-76500.0,0,0,0
117100,83502.0,-33598.0,387,-33598.0,0,0,1
117100,34600.0,-82500.0,387,-82500.0,0,0,0
