total_prize_real,net_profit_real,max_drawdown,hit_6_1,hit_6_0,hit_5_1,hit_5_0,hit_4_1,hit_4_0,hit_3_1,hit_3_0,hit_2_1,hit_1_1
319000.0,-495400.0,-549200,0,0,1,1,1,29,30,242,202,452
151200.0,-663200.0,-663200,0,0,0,0,2,21,46,243,194,449
159300.0,-655100.0,-655100,0,0,0,0,4,21,37,271,188,470
152200.0,-662200.0,-662200,0,0,0,0,3,18,38,268,201,436
138200.0,-676200.0,-676200,0,0,0,0,1,19,36,253,184,425
184800.0,-629600.0,-629600,0,0,0,2,2,19,31,252,204,432
154800.0,-659600.0,-659600,0,0,0,0,3,22,34,270,193,460
163800.0,-650600.0,-650600,0,0,0,1,3,18,27,256,191,428
149200.0,-665200.0,-665200,0,0,0,0,3,19,44,260,160,464
148100.0,-666300.0,-666300,0,0,0,0,2,17,45,253,204,424
172000.0,-642400.0,-642400,0,0,0,1,4,18,29,283,183,451
147000.0,-667400.0,-667400,0,0,0,0,2,15,40,265,203,439
156100.0,-658300.0,-658300,0,0,0,0,4,20,36,263,196,442
177000.0,-637400.0,-638000,0,0,0,1,5,16,38,248,208,426
155600.0,-658800.0,-658800,0,0,0,0,4,16,43,256,197,446
151800.0,-662600.0,-662600,0,0,0,0,2,19,41,276,204,438
295100.0,-519300.0,-519300,0,0,1,0,0,17,41,270,223,435
173200.0,-641200.0,-641200,0,0,0,0,6,20,46,262,209,468
154900.0,-659500.0,-659500,0,0,0,0,4,19,33,236,206,457
177600.0,-636800.0,-636800,0,0,0,1,3,21,45,266,201,440
145600.0,-668800.0,-668800,0,0,0,0,1,18,43,273,198,431
175100.0,-639300.0,-639300,0,0,0,1,5,18,28,267,190,448
179600.0,-634800.0,-634800,0,0,0,1,5,16,34,255,220,437
155600.0,-658800.0,-658800,0,0,0,0,1,28,41,271,208,441
148900.0,-665500.0,-665500,0,0,0,0,2,21,42,246,178,471
157200.0,-657200.0,-657200,0,0,0,0,3,20,48,271,203,423
152600.0,-661800.0,-661800,0,0,0,0,2,20,45,265,198,445
181900.0,-632500.0,-632500,0,0,0,2,2,14,25,276,193,465
190600.0,-623800.0,-639400,0,0,0,1,6,23,29,263,214,475
174000.0,-640400.0,-641000,0,0,0,1,4,15,38,277,199,433
151100.0,-663300.0,-663300,0,0,0,0,2,23,43,257,180,458
196300.0,-618100.0,-618100,0,0,0,2,3,21,34,264,221,433
322800.0,-491600.0,-491600,0,0,1,1,3,21,31,275,211,419
139400.0,-675000.0,-675000,0,0,0,0,1,15,32,264,200,442
319900.0,-494500.0,-494500,0,0,1,1,4,15,28,264,205,433
