total_prize_real,net_profit_real,max_drawdown,total_cost,hit_6_1,hit_6_0,hit_5_1,hit_5_0,hit_4_1,hit_4_0,hit_3_1,hit_3_0,hit_2_1,hit_1_1
149500.0,-664900.0,-664900,814400,0,0,0,0,3,26,33,239,197,402
170500.0,-643900.0,-643900,814400,0,0,0,1,3,13,36,280,190,477
165400.0,-649000.0,-649000,814400,0,0,0,1,1,18,43,270,178,472
158600.0,-655800.0,-655800,814400,0,0,0,0,3,21,39,274,208,452
311800.0,-502600.0,-502600,814400,0,0,1,1,1,19,35,236,211,428
210700.0,-603700.0,-603700,814400,0,0,0,2,6,28,38,246,188,469
137600.0,-676800.0,-676800,814400,0,0,0,0,0,14,35,265,203,453
147200.0,-667200.0,-667200,814400,0,0,0,0,2,22,36,262,198,414
147500.0,-666900.0,-666900,814400,0,0,0,0,2,18,40,263,200,428
162700.0,-651700.0,-651700,814400,0,0,0,1,2,13,30,256,220,427
171900.0,-642500.0,-642500,814400,0,0,0,1,4,11,46,255,199,434
161000.0,-653400.0,-653400,814400,0,0,0,0,6,19,38,252,174,466
175300.0,-639100.0,-639100,814400,0,0,0,1,3,23,41,257,200,428
161100.0,-653300.0,-653300,814400,0,0,0,0,4,21,42,272,196,451
176800.0,-637600.0,-637600,814400,0,0,0,1,3,23,34,306,179,464
165400.0,-649000.0,-649000,814400,0,0,0,1,2,20,32,255,200,431
142600.0,-671800.0,-671800,814400,0,0,0,0,1,21,25,266,200,452
