total_prize_fixed,total_prize_real,net_profit_fixed,net_profit_real,max_drawdown,hit_6_1,hit_6_0,hit_5_1,hit_5_0,hit_4_1,hit_4_0,hit_3_1,hit_3_0,hit_2_1,hit_1_1
162200,162200.0,-652200,-652200.0,-652200,0,0,0,1,0,25,29,261,199,447
149700,149700.0,-664700,-664700.0,-664700,0,0,0,0,1,24,36,263,195,468
152500,152500.0,-661900,-661900.0,-661900,0,0,0,0,2,26,35,232,206,453
311300,311300.0,-503100,-503100.0,-503100,0,0,1,1,2,20,36,254,185,405
140400,140400.0,-674000,-674000.0,-674000,0,0,0,0,1,24,36,256,179,414
187800,187800.0,-626600,-626600.0,-626600,0,0,0,2,3,16,35,243,208,431
179700,179700.0,-634700,-634700.0,-634700,0,0,0,1,4,24,40,259,209,408
137500,137500.0,-676900,-676900.0,-676900,0,0,0,0,0,20,39,246,179,455
138900,138900.0,-675500,-675500.0,-675500,0,0,0,0,1,20,27,242,200,439
165200,165200.0,-649200,-649200.0,-649200,0,0,0,1,1,16,37,263,202,469
171200,171200.0,-643200,-643200.0,-643200,0,0,0,1,2,16,43,290,186,470
289600,289600.0,-524800,-524800.0,-524800,0,0,1,0,1,18,32,274,184,442
149400,149400.0,-665000,-665000.0,-665000,0,0,0,0,3,19,30,247,199,457
138000,138000.0,-676400,-676400.0,-676400,0,0,0,0,1,17,30,272,190,432
143500,143500.0,-670900,-670900.0,-670900,0,0,0,0,1,14,39,282,181,483
174600,174600.0,-639800,-639800.0,-639800,0,0,0,1,3,19,48,267,194,427
146700,146700.0,-667700,-667700.0,-667700,0,0,0,0,2,22,46,248,176,427
305900,305900.0,-508500,-508500.0,-508500,0,0,1,0,3,26,35,286,182,441
143100,143100.0,-671300,-671300.0,-671300,0,0,0,0,2,17,40,249,181,444
150700,150700.0,-663700,-663700.0,-663700,0,0,0,0,4,17,28,246,209,435
318200,318200.0,-496200,-496200.0,-496200,0,0,1,1,3,13,31,265,217,435
166000,166000.0,-648400,-648400.0,-648400,0,0,0,1,2,14,34,283,218,413
168900,168900.0,-645500,-645500.0,-645500,0,0,0,1,2,25,30,262,197,433
160700,160700.0,-653700,-653700.0,-653700,0,0,0,0,4,26,43,239,191,446
167700,167700.0,-646700,-646700.0,-646700,0,0,0,1,2,22,34,276,198,413
287700,287700.0,-526700,-526700.0,-526700,0,0,1,0,0,22,31,251,185,456
157500,157500.0,-656900,-656900.0,-656900,0,0,0,1,1,23,34,234,184,413
329300,329300.0,-485100,-485100.0,-485100,0,0,1,2,2,20,28,247,186,422
149700,149700.0,-664700,-664700.0,-664700,0,0,0,0,1,21,42,249,217,438
177200,177200.0,-637200,-637200.0,-637200,0,0,0,1,2,20,42,279,213,459
306400,306400.0,-508000,-508000.0,-565000,0,0,1,1,2,10,35,255,174,461
147900,147900.0,-666500,-666500.0,-666500,0,0,0,0,3,19,29,251,185,470
177400,177400.0,-637000,-637000.0,-637000,0,0,0,1,4,24,35,250,189,454
151200,151200.0,-663200,-663200.0,-663200,0,0,0,0,2,18,36,249,216,463
151800,151800.0,-662600,-662600.0,-662600,0,0,0,0,2,19,42,249,207,455
152200,152200.0,-662200,-662200.0,-662200,0,0,0,0,5,14,32,290,193,406
148300,148300.0,-666100,-666100.0,-666100,0,0,0,0,1,19,44,249,210,446
199900,199900.0,-614500,-614500.0,-614500,0,0,0,2,5,23,35,263,185,442
160000,160000.0,-654400,-654400.0,-654400,0,0,0,1,0,17,31,270,199,472
155100,155100.0,-659300,-659300.0,-659300,0,0,0,0,2,30,30,257,200,454
203000,203000.0,-611400,-611400.0,-611400,0,0,0,2,4,24,38,249,205,467
137500,137500.0,-676900,-676900.0,-676900,0,0,0,0,1,15,30,249,193,460
142700,142700.0,-671700,-671700.0,-671700,0,0,0,0,2,16,28,278,194,441
173000,173000.0,-641400,-641400.0,-641400,0,0,0,1,1,25,46,241,207,451
138400,138400.0,-676000,-676000.0,-676000,0,0,0,0,0,17,38,263,205,423
179900,179900.0,-634500,-634500.0,-634500,0,0,0,1,6,22,36,259,170,440
150600,150600.0,-663800,-663800.0,-663800,0,0,0,0,3,19,34,266,196,440
161900,161900.0,-652500,-652500.0,-652500,0,0,0,1,1,28,27,217,190,450
144600,144600.0,-669800,-669800.0,-669800,0,0,0,0,3,22,25,240,203,404
157500,157500.0,-656900,-656900.0,-656900,0,0,0,0,2,24,40,287,205,446
144100,144100.0,-670300,-670300.0,-670300,0,0,0,0,3,17,39,236,183,427
168100,168100.0,-646300,-646300.0,-646300,0,0,0,1,3,15,38,252,184,469
